EM.CNPJ;EM.RAZAO_SOCIAL;EM.NATUREZA_JURIDICA;EM.QUALIFICACAO_RESP;EM.CAPITAL_SOCIAL;EM.PORTE;EM.ENTE_FEDERATIVO
04735119;EDIMAR R DREWANZ & CIA LTDA;2062;49;0,00;01;
04736367;ACOUGUE DOIS IRMAOS DE QUEIMADOS LTDA;2062;49;10000,00;01;
04736460;E.E.I. VIVENCIA E APRENDIZAGEM S/C. LTDA.;2240;49;0,00;05;
04736834;WORLD PARK REPRESENTACOES LTDA;2062;49;0,00;05;
04737150;TRANSPORTERRA EXTRACAO COMERCIO E TRANSPORTE DE PRODUTOS MINERAIS LTDA;2062;49;260000,00;01;
04737225;JOCA MONTAGENS E MANUTENCAO DE MAQUINAS E EQUIPAMENTOS S/C.LTDA;2240;49;1000,00;01;
04737467;BALPLAN - SERCICOS AGROPECUARIOS LTDA.;2062;49;0,00;01;
04737833;JANAINA & OZENILDA SERVICOS LTDA;2062;49;0,00;01;
04737895;BLANCO CONSULTORIA E ANALISE LTDA;2240;28;0,00;01;
04737929;BLUE MIDIA COMUNICACAO LTDA;2062;49;0,00;01;
04738028;RIBOLETTA DO LEBLON FESTAS INFANTIS LTDA;2062;49;0,00;05;
04738219;ALFATRONI COMPUTADORES E SERVICOS LTDA;2062;49;0,00;01;
04738657;PASTELINHO CATAGUASES LTDA;2062;49;0,00;01;
04738744;BARBOSA & MENDES;2062;49;0,00;05;
04739326;NORTE SAUDE S/C LTDA;2240;49;638664,00;05;
04739557;DALSON IMPORTACOES LTDA;2062;49;0,00;05;
04739812;O.K. EMBREAGENS , COMERCIO DE PECAS E SERVICOS LTDA;2062;49;0,00;05;
04739872;MARIA WEBBER DOS REIS & CIA LTDA;2062;49;0,00;01;
04739941;HALL HOTEIS ALBUQUERQUE LIMA LTDA;2062;49;0,00;01;
04740075;PYMPID'US INDUSTRIA E COMERCIO LTDA;2062;49;10000,00;01;
04740145;CAROL PET SHOP COMERCIO DE RACOES ACESSORIOS BANHO E TOSA LTDA;2062;49;5000,00;01;
04740169;SCHEME INFORMATICA LTDA.;2240;49;0,00;01;
04740683;MANZOLI COMUNICACAO LTDA;2062;49;1000,00;01;
04740798;CHINA PESCADOS MARISCOS E ALIMENTOS LTDA;2062;49;100000,00;05;
04740910;IBIRAPUERA PLAZA CABELO E ESTETICA LTDA;2062;49;50000,00;03;
04741048;PARQUE HIPICO DE BRASILIA;3999;16;0,00;05;
04741136;MBA SERVICE LTDA;2062;49;0,00;01;
04741610;SPREAD ASSESSORIA LTDA;2062;49;0,00;01;
04741721;DALMONIS DE SOUZA & CIA LTDA;2062;49;0,00;01;
04741897;ASSOCIACAO COMUNITARIA - AMIGOS DE NOVA GLORIA - AMING;3999;16;0,00;05;
04742531;MASTERSIGN CERTIFICADORA DIGITAL LTDA.;2062;05;9894212,00;05;
05262484;THALIA VIEIRA PIMENTEL EMPREENDIMENTOS LTDA;2062;49;100000,00;05;
06044728;EXPANSAO COMERCIO DE ARTIGOS ESPORTIVOS E PAPELARIA LTDA;2062;49;10000,00;01;
06864435;EUROTECH INDUSTRIA E COMERCIO DE CARRINHOS LTDA;2062;49;0,00;05;
06865263;P. T . G. QUERENCIA DA TRADICAO;3999;16;0,00;05;
06865384;ECHO CONTINENTAL - CENTRO EDUCACIONAL E COLEGIO LTDA;2062;49;100000,00;05;
06865846;COMERCIAL BAHIA LTDA;2062;49;80000,00;05;
06866243;MEGA - CONCRETOS DE ALTA TECNOLOGIA LTDA;2062;49;0,00;05;
06866295;ASSOCIACAO CAIAKAGEM DE CANOAGEM - ACKC;3999;16;0,00;05;
06867162;RADIO ION COMERCIO DE ELETRONICA LTDA;2062;49;0,00;05;
06867328;BERGAMASCHI ADVOGADOS ASSOCIADOS;2232;49;50000,00;05;
06867341;GUESSER COMERCIO E REPRESENTACAO LTDA;2062;49;10000,00;05;
06869959;ELEICOES 2004 CF - VARZELANDIA - MG - COMITE FINANC MUN P/VEREADOR - PFL;3999;16;0,00;05;
06869976;ELEICOES 2004 CF - PARAGUACU - MG - COMITE FINANC MUN P/VEREADOR - PPS;3999;16;0,00;05;
06870600;ELEICOES 2004 CF - INHUMA - PI - COMITE FINANC MUN UNICO - PSL;3999;16;0,00;05;
06870872;ELEICOES 2004 CF - AGUIAR - PB - COMITE FINANC MUN P/VEREADOR - PSDC;3999;16;0,00;05;
06871083;ELEICOES 2004 CF - LAGOA GRANDE - PE - COMITE FINANC MUN P/VEREADOR - PP;3999;16;0,00;05;
06873008;ELEICOES 2004 CF - BRASILANDIA - MS - COMITE FINANC MUN P/VEREADOR - PPS;3999;16;0,00;05;
06873271;ELEICOES 2004 CF - CATOLANDIA - BA - COMITE FINANC MUN UNICO - PFL;3999;16;0,00;05;
06873450;ELEICOES 2004 CF - DIORAMA - GO - COMITE FINANC MUN UNICO - PP;3999;16;0,00;05;
06873520;ELEICOES 2004 CF - POCO DANTAS - PB - COMITE FINANC MUN P/PREFEITO - PMDB;3999;16;0,00;05;
06873536;ELEICOES 2004 CF - TACURU - MS - COMITE FINANC MUN P/VEREADOR - PSDB;3999;16;0,00;05;
06873564;ELEICOES 2004 CF - JUCURUTU - RN - COMITE FINANC MUN UNICO - PDT;3999;16;0,00;05;
